line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
11625,4,JR東西線,トウザイセン,JR東西線,#e73082,,,135.47296650254500,34.70792547579640,13,0,11625
11626,4,阪和線(天王寺～和歌山),ハンワセン,阪和線(天王寺～和歌山),#f5a200,,,135.40119375346100,34.461540982279700,10,0,11626
11627,4,羽衣線,ハゴロモセン,阪和線(鳳～東羽衣),#f5a200,,,135.44957737036100,34.53405856707460,14,0,11627
11628,4,JR関西空港線,カンサイクウコウセン,JR関西空港線,#0071be,,,135.28886841796900,34.415185002847100,12,0,11628
11629,4,JR宝塚線,タカラヅカセン,JR福知山線(新大阪～篠山口),#fcc800,,,135.34443493104800,34.869892901767800,10,0,11629
11630,4,福知山線(篠山口～福知山),フクチヤマセン,福知山線(篠山口～福知山),#fcc800,,,135.10557603593700,35.16077076962340,11,0,11630
11631,4,JR赤穂線,アコウセン,JR赤穂線,#0071be,,,134.19749321945800,34.74727447707280,10,0,11631
11632,4,JR加古川線,カコガワセン,JR加古川線,#00a684,,,134.95252260319300,34.937080097765700,11,0,11632
11633,4,JR姫新線(姫路～佐用),キシンセン,JR姫新線(姫路～佐用),#e9451b,,,134.5265431282520,34.925861603836700,11,0,11633
11634,4,JR姫新線(佐用～新見),キシンセン,JR姫新線(佐用～新見),#e9451b,,,133.88053953968800,35.05024080385130,10,0,11634
11635,4,JR播但線,バンタンセン,JR播但線,#b1184b,,,134.76405417729800,35.11319295999240,10,0,11635
11636,4,JR和歌山線,ワカヤマセン,JR和歌山線,#f3a8be,,,135.55708161653300,34.36363683433040,10,0,11636
11637,4,万葉まほろば線,マンヨウマホロバセン,桜井線,,,,135.80071228557900,34.58068954514850,12,0,11637
11639,4,きのくに線,キノクニセン,JR紀勢本線(新宮～和歌山),#00a6bf,,,135.42717545992600,33.8318362763193,9,0,11639
11640,4,紀勢本線(和歌山～和歌山市),キセイホンセン,紀勢本線(和歌山～和歌山市),,,,135.17833371427700,34.23803306849790,14,0,11640
11641,4,おおさか東線,オオサカヒガシセン,おおさか東線,#3b7293,,,135.57427154498700,34.6569679065075,13,0,11641
11701,4,JR山陰本線(米子～益田),サンインホンセン,JR山陰本線(米子～益田),#f26122,,,132.56106754653,35.207310237832800,9,0,11701
11702,4,JR山陰本線(益田～下関),サンインホンセン,JR山陰本線(益田～下関),#7e733d,,,131.27266657109400,34.359406605350400,9,0,11702
11703,4,JR伯備線,ハクビセン,JR伯備線,"#35934a,#008000",,,133.4956230323160,35.05328907628890,9,0,11703
11704,4,JR因美線,インビセン,JR因美線,#ba7c32,,,134.15001556289100,35.26468997449500,10,0,11704
11705,4,JR境線,サカイセン,JR境線,#0066b3,,,133.26253975683600,35.48805798426350,12,0,11705
11706,4,JR木次線,キスキセン,JR木次線,#ffc20e,,,133.0214796323760,35.19925146242540,11,0,11706
11707,4,JR三江線,サンコウセン,JR三江線,#00b2e5,,,132.56298278822700,34.94301166412020,10,2,11707
11708,4,JR山口線,ヤマグチセン,JR山口線,#ed6d46,,,131.47348476743700,34.34664277172910,10,0,11708
11709,4,JR宇野線,ウノセン,JR宇野線,#84ccce,,,133.91319936002900,34.575841133333,12,0,11709
11710,4,瀬戸大橋線,セトオオハシセン,JR本四備讃線,#0072BA,,,133.80943996289100,34.45427589348770,11,0,11710
11713,4,JR吉備線,キビセン,JR吉備線,#f3aaba,,,133.82726757246100,34.681156069560700,12,0,11713
11714,4,JR芸備線,ゲイビセン,JR芸備線,#947eb8,,,132.92164288638100,34.77393016298860,9,0,11714
11715,4,JR津山線,ツヤマセン,JR津山線,#fbc200,,,133.92270229112900,34.89119811118180,10,0,11715
11716,4,JR呉線,クレセン,JR呉線,#d28b0e,,,132.77973932812500,34.38727695792690,10,0,11716
11717,4,JR可部線,カベセン,JR可部線,#09c0b0,,,132.47781461538,34.458222540776700,12,0,11717
11720,4,JR福塩線,フクエンセン,JR福塩線,#413993,,,133.12978408112300,34.63826629435400,10,0,11720
11721,4,JR宇部線,ウベセン,JR宇部線,#b1184b,,,131.30267582009400,34.01935294649800,11,0,11721
11722,4,JR美祢線,ミネセン,JR美祢線,#d60077,,,131.18069311027900,34.23328101840960,11,0,11722
11723,4,JR小野田線,オノダセン,JR小野田線,#6856a3,,,131.19368612434600,33.97855544704830,12,0,11723
11724,4,JR岩徳線,ガントクセン,JR岩徳線,#00a663,,,132.05697608203100,34.093477630991600,11,0,11724
11901,4,JR博多南線,ハカタミナミセン,JR博多南線,#0b318e,,,130.42880950000000,33.56485012227770,12,0,11901
11801,5,JR土讃線,ドサンセン,JR土讃線,#E25885,,,133.5702572626780,33.76640013004780,9,0,11801
11802,5,JR高徳線,コウトクセン,JR高徳線,#99CC00,,,134.3105839707690,34.249541132659700,10,0,11802
11803,5,よしの川ブルーライン,ヨシノガワブルーライン,JR徳島線,#008080,,,134.15180845056900,34.04872232965600,10,0,11803
11804,5,JR牟岐線,ムギセン,JR牟岐線,#00FFFF,,,134.50842286054700,33.839964753816700,10,0,11804
11805,5,JR鳴門線,ナルトセン,JR鳴門線,#993366,,,134.5684284179690,34.16377798184310,13,0,11805
11806,5,JR予讃線,ヨサンセン,JR予讃線,#98A9D6,,,133.36265926932300,34.1929917675124,9,0,11806
11807,5,JR予讃・内子線,ヨサン・ウチコセン,JR予讃・内子線,#FF9900,,,132.58951682500000,33.55703537480220,10,0,11807
11808,5,しまんとグリーンライン,シマントグリーンライン,JR予土線,#339966,,,132.82238446661700,33.232871923386100,10,0,11808
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,,,,130.5768237942680,32.794280023118400,8,0,1010
11902,6,JR鹿児島本線(下関・門司港～博多),カゴシマホンセン,JR鹿児島本線(下関・門司港～博多),#EE3D49,,,130.6285375318410,33.836705421057100,10,0,11902
11903,6,JR鹿児島本線(博多～八代),カゴシマホンセン,JR鹿児島本線(博多～八代),#EE3D49,,,130.50630754953100,33.09244601820780,9,0,11903
11904,6,JR鹿児島本線(川内～鹿児島),カゴシマホンセン,JR鹿児島本線(川内～鹿児島),#EE3D49,,,130.36350199190600,31.653348264530100,10,0,11904
11905,6,JR長崎本線(鳥栖～長崎),ナガサキホンセン,JR長崎本線(鳥栖～長崎),#FAAF18,,,130.15215055841200,33.12136017057500,10,0,11905
11906,6,JR日豊本線(門司港～佐伯),ニッポウホンセン,JR日豊本線(門司港～佐伯),#0095D9,,,131.3035515557330,33.554935307059400,9,0,11906
11907,6,JR日豊本線(佐伯～鹿児島中央),ニッポウホンセン,JR日豊本線(佐伯～鹿児島中央),#0095D9,,,131.44721097991500,32.21697833588650,8,0,11907
11908,6,福北ゆたか線,フクホクユタカセン,JR篠栗線,#FAAF18,,,130.5327031627640,33.619909871589000,11,0,11908
11909,6,JR筑肥線(姪浜～西唐津),チクヒセン,JR筑肥線(姪浜～西唐津),#8F3E97,,,130.1294128359380,33.51164936612570,11,0,11909
11910,6,若松線,チクホウセン,JR筑豊本線(若松～折尾),#0095D9,,,130.75212779362300,33.888220228939600,12,0,11910
11911,6,福北ゆたか線(折尾～桂川),フクホクユタカセン,JR筑豊本線(折尾～桂川),#FAAF18,,,130.70611418554700,33.73450091343950,11,0,11911
11912,6,原田線,ハルダセン,JR筑豊本線(桂川～原田),#36B558,,,130.60913221796900,33.52416440000000,12,0,11912
11913,6,ゆふ高原線,ユフコウゲンセン,JR久大本線,#36b558,,,131.03599494330900,33.26206230329550,9,0,11913
11914,6,JR日田彦山線,ヒタヒコサンセン,JR日田彦山線,#b96f30,,,130.8729992288540,33.586902600797100,10,0,11914
11915,6,JR後藤寺線,ゴトウジセン,JR後藤寺線,#8F3E97,,,130.74314741536100,33.638942676083400,12,0,11915
11916,6,海の中道線,ウミノナカミチセン,JR香椎線(西戸崎～香椎),#0095D9,,,130.40419308203100,33.67670942055950,12,0,11916
11917,6,JR香椎線(香椎～宇美),カシイセン,JR香椎線(香椎～宇美),#0095D9,,,130.47290076761800,33.61956046230870,12,0,11917
11918,6,JR佐世保線,サセボセン,JR佐世保線,#36B558,,,129.93997025139900,33.188115656645600,11,0,11918
11920,6,JR筑肥線(西唐津～伊万里),チクヒセン,JR筑肥線(西唐津～伊万里),#8F3E97,,,129.93973570619600,33.37129522314020,11,0,11920
11921,6,JR唐津線,カラツセン,JR唐津線,"#0095D9,#8F3E97",,,130.07740469824200,33.335442702008900,11,0,11921
11922,6,JR大村線,オオムラセン,JR大村線,,,,129.92142406400600,33.0016978478685,11,0,11922
11923,6,阿蘇高原線,アソコウゲンセン,JR豊肥本線,#B96F30,,,131.26213019826800,33.017126643984400,9,0,11923
11924,6,三角線（あまくさみすみ線）,アマクサミスミセン,JR三角線,#0095d9,,,130.5892981230470,32.69144960204070,11,0,11924
11925,6,えびの高原線(八代～吉松),エビノコウゲンセン,JR肥薩線(八代～吉松),#8f3e97,,,130.68331185135400,32.28699731526650,10,0,11925
11926,6,JR肥薩線(吉松～隼人),ヒサツセン,JR肥薩線(吉松～隼人),#8f3e97,,,130.7067464617190,31.890984289007600,11,0,11926
11927,6,JR宮崎空港線,ミヤザキクウコウセン,JR宮崎空港線,#36b558,,,131.4327622910160,31.895343146073100,13,0,11927
11928,6,JR日南線,ニチナンセン,JR日南線,#faaf18,,,131.36265390204300,31.683576551144200,10,0,11928
11929,6,えびの高原線,エビノコウゲンセン,JR吉都線,#36b558,,,130.95640168416900,31.917243912644600,10,0,11929
11930,6,JR指宿枕崎線,イブスキマクラザキセン,JR指宿枕崎線,#faaf18,,,130.50341089279600,31.359999553777000,10,0,11930
21001,11,東武東上線,トウブトウジョウセン,東武東上線,#000099,,,139.4596378608160,35.92121867100330,10,0,21001
21002,11,東武伊勢崎線,トウブイセサキセン,東武伊勢崎線,#ff0000,,,139.49934131661700,36.05676642458760,10,0,21002
21003,11,東武日光線,トウブニッコウセン,東武日光線,#ff9900,,,139.69116016166300,36.44579740499200,9,0,21003
21004,11,東武野田線,トウブノダセン,東武野田線,#33cccc,,,139.89191261825100,35.88791322003920,10,0,21004
21005,11,東武亀戸線,トウブカメイドセン,東武亀戸線,,,,139.8243467565920,35.707951515131100,14,0,21005
21006,11,東武大師線,トウブダイシセン,東武大師線,,,,139.78532285449200,35.77906122777850,15,0,21006
21007,11,東武越生線,トウブオゴセセン,東武越生線,#000099,,,139.34262265478500,35.95321877096070,12,0,21007
21008,11,東武宇都宮線,トウブウツノミヤセン,東武宇都宮線,#ff9900,,,139.81789435188500,36.4837902872465,12,0,21008
21009,11,東武鬼怒川線,トウブキヌガワセン,東武鬼怒川線,#ff9900,,,139.70717357470700,36.798129745501300,12,0,21009
21010,11,東武佐野線,トウブサノセン,東武佐野線,,,,139.56805858144500,36.32886759844370,12,0,21010
21011,11,東武桐生線,トウブキリュウセン,東武桐生線,,,,139.32341258398400,36.36939670757350,12,0,21011
21012,11,東武小泉線,トウブコイズミセン,東武小泉線,,,,139.45065401063800,36.25658592696110,12,0,21012
22001,12,西武池袋線,セイブイケブクロセン,西武池袋線,#F17900,,,139.46789285918400,35.791261736068600,10,0,22001
22002,12,西武秩父線,セイブチチブセン,西武秩父線,#F17900,,,139.20473307155800,35.92170459623050,11,0,22002
22003,12,西武有楽町線,セイブユウラクチョウセン,西武有楽町線,#9370DB,,,139.6675949841310,35.74040400298960,14,0,22003
22004,12,西武豊島線,セイブトシマセン,西武豊島線,#F17900,,,139.65151682275400,35.74004316669750,15,0,22004
22005,12,西武狭山線,セイブサヤマセン,西武狭山線,#F17900,,,139.43924865608400,35.779602472345600,14,0,22005
22006,12,レオライナー,レオライナー,西武山口線,#FF69B4,,,139.4314444179690,35.77056760911250,14,0,22006
22007,12,西武新宿線,セイブシンジュクセン,西武新宿線,#00A6C0,,,139.5308648735160,35.77694687107500,11,0,22007
22008,12,西武拝島線,セイブハイジマセン,西武拝島線,#00A6C0,,,139.41313556738300,35.73286470476110,12,0,22008
22009,12,西武西武園線,セイブセイブエンセン,西武西武園線,#00A6C0,,,139.45737150000000,35.76415058275420,14,0,22009
22010,12,西武国分寺線,セイブコクブンジセン,西武国分寺線,#00BB00,,,139.46774104550800,35.73062820396880,13,0,22010
22011,12,西武多摩湖線,セイブタマコセン,西武多摩湖線,#00A6C0,,,139.46850918520000,35.7410481319452,13,0,22011
22012,12,西武多摩川線,セイブタマガワセン,西武多摩川線,#F17900,,,139.51353168782200,35.67702828078770,13,0,22012
23001,13,京成本線,ケイセイホンセン,京成本線,#3366FF,,,140.07226251112700,35.72628886952880,10,0,23001
23002,13,京成押上線,ケイセイオシアゲセン,京成押上線,#3366FF,,,139.84176579896900,35.737000349715100,13,0,23002
23003,13,京成金町線,ケイセイカナマチセン,京成金町線,,,,139.86858506877000,35.76122200631620,14,0,23003
23004,13,京成千葉線,ケイセイチバセン,京成千葉線,#3366FF,,,140.0661342760740,35.65068344559280,12,0,23004
23005,13,京成千原線,ケイセイチハラセン,京成千原線,,,,140.14014244172800,35.57885231430840,12,0,23005
23006,13,成田スカイアクセス,ナリタスカイアクセス,京成成田空港線,#FF6600,,,140.04557998117600,35.78347470166890,10,0,23006
24001,14,京王線,ケイオウセン,京王線,#dd0077,,,139.53357685914900,35.67836429466230,11,0,24001
24002,14,京王相模原線,ケイオウサガミハラセン,京王相模原線,#dd0077,,,139.4375162167970,35.625847000000000,12,0,24002
24003,14,京王高尾線,ケイオウタカオセン,京王高尾線,#dd0077,,,139.3084367460280,35.64331590360230,13,0,24003
24004,14,京王競馬場線,ケイオウケイバジョウセン,京王競馬場線,#dd0077,,,139.48962301586900,35.668945374044700,14,0,24004
24005,14,京王動物園線,ケイオウドウブツエンセン,京王動物園線,#dd0077,,,139.40999162963900,35.657461750041900,14,0,24005
24006,14,京王井の頭線,ケイオウイノガシラセン,京王井の頭線,#000088,,,139.63498783283300,35.67668499412640,12,0,24006
24007,14,京王新線,ケイオウシンセン,京王新線,#dd0077,,,139.68525052070600,35.6804985281479,14,0,24007
25001,15,小田急線,オダキュウセン,小田急小田原線,#2288CC,,,139.4347753931640,35.528535238628000,11,0,25001
25002,15,小田急江ノ島線,オダキュウエノシマセン,小田急江ノ島線,#2288CC,,,139.44977550160400,35.43574809743090,11,0,25002
25003,15,小田急多摩線,オダキュウタマセン,小田急多摩線,#2288CC,,,139.4602937407230,35.61945834975000,13,0,25003
26001,16,東急東横線,トウキュウトウヨコセン,東急東横線,#da0442,,,139.66832596832700,35.58608048810500,11,0,26001
26002,16,東急目黒線,トウキュウメグロセン,東急目黒線,#009cd2,,,139.67835129424700,35.60375542918130,13,0,26002
26003,16,東急田園都市線,トウキュウデンエントシセン,東急田園都市線,#20a288,,,139.58465916941600,35.58324215005880,11,0,26003
26004,16,東急大井町線,トウキュウオオイマチセン,東急大井町線,#f18c43,,,139.67537624870100,35.60702724307620,12,0,26004
26005,16,東急池上線,トウキュウイケガミセン,東急池上線,#ee86a7,,,139.70623944130900,35.593936510961100,13,0,26005
26006,16,東急多摩川線,トウキュウタマガワセン,東急多摩川線,#AE0378,,,139.68743273015900,35.5724416406283,13,0,26006
26007,16,東急世田谷線,トウキュウセタガヤセン,東急世田谷線,#fcc70d,,,139.6525418613770,35.65319677988150,14,0,26007
26008,16,東急こどもの国線,トウキュウコドモノクニセン,東急こどもの国線,#0068b7,,,139.4878590899220,35.54810975753720,14,0,26008
27001,17,京急本線,ケイキュウホンセン,京急本線,#33c2e4,,,139.66542155593800,35.470013165246200,10,0,27001
27002,17,京急空港線,ケイキュウクウコウセン,京急空港線,#33c2e4,,,139.74978371429000,35.5550012530646,13,0,27002
27003,17,京急大師線,ケイキュウダイシセン,京急大師線,#33c2e4,,,139.7232999893990,35.53569049987190,14,0,27003
27004,17,京急逗子線,ケイキュウズシセン,京急逗子線,#33c2e4,,,139.59885124072300,35.31470434848570,13,0,27004
27005,17,京急久里浜線,ケイキュウクリハマセン,京急久里浜線,#33c2e4,,,139.66828232270200,35.228707904602400,12,0,27005
28001,18,東京メトロ銀座線,ギンザセン,東京メトロ銀座線,#F7931D,オレンジ,,139.75720810526000,35.686460950459100,13,0,28001
28002,18,東京メトロ丸ノ内線,マルノウチセン,東京メトロ丸ノ内線,#E60012,レッド,,139.70043660044500,35.70518513577210,12,0,28002
28003,18,東京メトロ日比谷線,ヒビヤセン,東京メトロ日比谷線,#89A1AD,シルバー,,139.76790012172300,35.69469233873320,12,0,28003
28004,18,東京メトロ東西線,トウザイセン,東京メトロ東西線,#00A7DB,スカイブルー,,139.8154913497140,35.68326532976150,11,0,28004
28005,18,東京メトロ千代田線,チヨダセン,東京メトロ千代田線,#009933,グリーン,,139.7558611955080,35.723011671551100,12,0,28005
28006,18,東京メトロ有楽町線,ユウラクチョウセン,東京メトロ有楽町線,#C5C544,ゴールド,,139.70420434309600,35.73316551916100,11,0,28006
28008,18,東京メトロ半蔵門線,ハンゾウモンセン,東京メトロ半蔵門線,#A757A8,パープル,,139.76522714815600,35.68813210626040,12,0,28008
28009,18,東京メトロ南北線,ナンボクセン,東京メトロ南北線,#00ADA9,エメラルド,,139.73433187075700,35.71029971840750,12,0,28009
28010,18,東京メトロ副都心線,フクトシンセン,東京メトロ副都心線,#BB6633,ブラウン,,139.686663477539,35.731442005432500,12,0,28010
29001,19,相鉄本線,ソウテツホンセン,相鉄本線,#000080,,,139.50914329350900,35.46560374998010,11,0,29001
29002,19,相鉄いずみ野線,ソウテツイズミノセン,相鉄いずみ野線,#000080,,,139.49649288818400,35.431541345897700,13,0,29002
29003,19,相鉄・JR直通線,ソウテツ・ジェイアールチョクツウセン,相鉄新横浜線,#000080,,,139.49649288818400,35.431541345897700,13,0,29003
30001,20,名鉄名古屋本線,メイテツナゴヤホンセン,名鉄名古屋本線,#d12027,,,137.0464890930960,35.09024465530140,10,0,30001
30002,20,名鉄豊川線,メイテツトヨカワセン,名鉄豊川線,#d12027,,,137.36208428144500,34.82916687204690,13,0,30002
30003,20,名鉄西尾線,メイテツニシオセン,名鉄西尾線,#654e9e,,,137.0757899990230,34.89567964566030,11,0,30003
30004,20,名鉄蒲郡線,メイテツガマゴオリセン,名鉄蒲郡線,#654e9e,,,137.1490534628910,34.8301550839259,12,0,30004
30005,20,名鉄三河線,メイテツミカワセン,名鉄三河線,#654e9e,,,137.03974462461700,35.0278917979405,11,0,30005
30006,20,名鉄豊田線,メイテツトヨタセン,名鉄豊田線,"#9eb03a,#ffffff",,,137.09495931738300,35.12029623536200,12,0,30006
30007,20,名鉄空港線,メイテツクウコウセン,名鉄空港線,#1065ab,,,136.82754263493200,34.87838958925190,13,0,30007
30008,20,名鉄常滑線,メイテツトコナメセン,名鉄常滑線,#1065ab,,,136.87202090129400,35.052184094597200,11,0,30008
30009,20,名鉄河和線,メイテツコウワセン,名鉄河和線,"#2a9dd8,#ffffff",,,136.9060465819410,34.92375177491230,11,0,30009
30010,20,名鉄知多新線,メイテツチタシンセン,名鉄知多新線,"#2a9dd8,#ffffff",,,136.88079230957000,34.80481607911710,12,0,30010
30011,20,名鉄築港線,メイテツチッコウセン,名鉄築港線,#727171,,,136.90566317724600,35.0918767965234,14,0,30011
30012,20,名鉄瀬戸線,メイテツセトセン,名鉄瀬戸線,#7c2982,,,136.9925432820310,35.20783035224850,11,0,30012
30013,20,名鉄津島線,メイテツツシマセン,名鉄津島線,"#e85624,#ffffff",,,136.7781820224610,35.198356309027700,12,0,30013
30014,20,名鉄尾西線,メイテツビサイセン,名鉄尾西線,"#e85624,#ffffff",,,136.74435732434700,35.243666720392000,11,0,30014
30015,20,名鉄犬山線,メイテツイヌヤマセン,名鉄犬山線,#018b44,,,136.8898647269530,35.31165711367210,11,0,30015
30016,20,名鉄各務原線,メイテツカカミガハラセン,名鉄各務原線,#018b44,,,136.85325381483700,35.403204284488100,12,0,30016
